date,session_key,meeting_key,driver_number,position
2023-09-16T12:45:05.450000+00:00,9161,1219,55,1
2023-09-16T12:45:05.450000+00:00,9161,1219,63,2
2023-09-16T12:45:05.450000+00:00,9161,1219,4,3
2023-09-16T12:45:05.450000+00:00,9161,1219,1,4
2023-09-16T12:45:05.450000+00:00,9161,1219,16,5
2023-09-16T12:45:05.450000+00:00,9161,1219,44,6
2023-09-16T12:45:05.450000+00:00,9161,1219,81,7
2023-09-16T12:45:05.450000+00:00,9161,1219,11,8
2023-09-16T12:45:05.450000+00:00,9161,1219,27,9
2023-09-16T12:45:05.450000+00:00,9161,1219,22,10
2023-09-16T12:45:05.450000+00:00,9161,1219,20,11
2023-09-16T12:45:05.450000+00:00,9161,1219,31,12
2023-09-16T12:45:05.450000+00:00,9161,1219,14,13
2023-09-16T12:45:05.450000+00:00,9161,1219,18,14
2023-09-16T12:45:05.450000+00:00,9161,1219,10,15
2023-09-16T12:45:05.450000+00:00,9161,1219,40,16
2023-09-16T12:45:05.450000+00:00,9161,1219,23,17
2023-09-16T12:45:05.450000+00:00,9161,1219,77,18
2023-09-16T12:45:05.450000+00:00,9161,1219,24,19
2023-09-16T12:45:05.450000+00:00,9161,1219,2,20
2023-09-16T13:00:02.184000+00:00,9161,1219,55,2
2023-09-16T13:00:02.184000+00:00,9161,1219,63,3
2023-09-16T13:00:02.184000+00:00,9161,1219,4,4
2023-09-16T13:00:02.184000+00:00,9161,1219,1,5
2023-09-16T13:00:02.184000+00:00,9161,1219,16,6
2023-09-16T13:00:02.184000+00:00,9161,1219,44,7
2023-09-16T13:00:02.184000+00:00,9161,1219,81,8
2023-09-16T13:00:02.184000+00:00,9161,1219,11,9
2023-09-16T13:00:02.184000+00:00,9161,1219,27,10
2023-09-16T13:00:02.184000+00:00,9161,1219,22,11
2023-09-16T13:00:02.184000+00:00,9161,1219,20,12
2023-09-16T13:00:02.184000+00:00,9161,1219,31,13
2023-09-16T13:00:02.184000+00:00,9161,1219,14,14
2023-09-16T13:00:02.184000+00:00,9161,1219,18,15
2023-09-16T13:00:02.184000+00:00,9161,1219,10,16
2023-09-16T13:00:02.184000+00:00,9161,1219,40,17
2023-09-16T13:00:02.184000+00:00,9161,1219,23,18
2023-09-16T13:00:02.184000+00:00,9161,1219,77,19
2023-09-16T13:00:02.184000+00:00,9161,1219,24,20
2023-09-16T13:00:02.184000+00:00,9161,1219,2,1
2023-09-16T13:00:04.028000+00:00,9161,1219,55,3
2023-09-16T13:00:04.028000+00:00,9161,1219,63,4
2023-09-16T13:00:04.028000+00:00,9161,1219,4,5
2023-09-16T13:00:04.028000+00:00,9161,1219,1,6
2023-09-16T13:00:04.028000+00:00,9161,1219,16,7
2023-09-16T13:00:04.028000+00:00,9161,1219,44,8
2023-09-16T13:00:04.028000+00:00,9161,1219,81,9
2023-09-16T13:00:04.028000+00:00,9161,1219,11,10
2023-09-16T13:00:04.028000+00:00,9161,1219,27,11
2023-09-16T13:00:04.028000+00:00,9161,1219,22,12
2023-09-16T13:00:04.028000+00:00,9161,1219,20,1
2023-09-16T13:00:04.028000+00:00,9161,1219,2,2
2023-09-16T13:00:06.778000+00:00,9161,1219,55,4
2023-09-16T13:00:06.778000+00:00,9161,1219,63,5
2023-09-16T13:00:06.778000+00:00,9161,1219,4,6
2023-09-16T13:00:06.778000+00:00,9161,1219,1,7
2023-09-16T13:00:06.778000+00:00,9161,1219,16,8
2023-09-16T13:00:06.778000+00:00,9161,1219,44,9
2023-09-16T13:00:06.778000+00:00,9161,1219,81,10
2023-09-16T13:00:06.778000+00:00,9161,1219,11,11
2023-09-16T13:00:06.778000+00:00,9161,1219,27,12
2023-09-16T13:00:06.778000+00:00,9161,1219,22,13
2023-09-16T13:00:06.778000+00:00,9161,1219,31,14
2023-09-16T13:00:06.778000+00:00,9161,1219,14,15
2023-09-16T13:00:06.778000+00:00,9161,1219,18,16
2023-09-16T13:00:06.778000+00:00,9161,1219,10,17
