meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,message
1219,9161,2023-09-16T12:45:18+00:00,,,Other,,,,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 10%
1219,9161,2023-09-16T13:00:00+00:00,,,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1219,9161,2023-09-16T13:09:45+00:00,,,Other,,,,TURN 8 INCIDENT INVOLVING CARS 2 (SAR) AND 18 (STR) NOTED - IMPEDING
1219,9161,2023-09-16T13:12:14+00:00,,,Other,,,,FIA STEWARDS: TURN 8 INCIDENT INVOLVING CARS 2 (SAR) AND 18 (STR) WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING
1219,9161,2023-09-16T13:18:00+00:00,,,Flag,CHEQUERED,Track,,CHEQUERED FLAG
1219,9161,2023-09-16T13:19:10+00:00,,,Flag,DOUBLE YELLOW,Sector,16,DOUBLE YELLOW IN TRACK SECTOR 16
1219,9161,2023-09-16T13:19:12+00:00,,,Other,,,,DRS DISABLED IN ZONE 3
1219,9161,2023-09-16T13:19:16+00:00,,,Flag,RED,Track,,RED FLAG
1219,9161,2023-09-16T13:19:17+00:00,,,Flag,CLEAR,Sector,16,CLEAR IN TRACK SECTOR 16
1219,9161,2023-09-16T13:21:34+00:00,,,Other,,,,START OF Q2 WILL BE DELAYED
1219,9161,2023-09-16T13:26:42+00:00,,,Other,,,,PIT LANE INCIDENT FROM Q1 INVOLVING CAR 1 (VER) NOTED - IMPEDING
1219,9161,2023-09-16T13:27:24+00:00,,,Other,,,,FIA STEWARDS: PIT LANE INCIDENT FROM Q1 INVOLVING CAR 1 (VER) WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING
1219,9161,2023-09-16T13:32:56+00:00,,,Flag,CLEAR,Track,,TRACK CLEAR
1219,9161,2023-09-16T13:32:59+00:00,,,Drs,,,,DRS ENABLED
1219,9161,2023-09-16T13:33:58+00:00,,,Flag,DOUBLE YELLOW,Sector,15,DOUBLE YELLOW IN TRACK SECTOR 15
1219,9161,2023-09-16T13:34:02+00:00,,,Flag,CLEAR,Sector,15,CLEAR IN TRACK SECTOR 15
1219,9161,2023-09-16T13:36:00+00:00,,,Flag,YELLOW,Sector,16,YELLOW IN TRACK SECTOR 16
1219,9161,2023-09-16T13:36:01+00:00,,,Other,,,,DRS DISABLED IN ZONE 3
1219,9161,2023-09-16T13:38:00+00:00,,,Other,,,,INCIDENT BETWEEN SEVERAL CARS IN TURNS 16 TO 19 NOTED - IMPEDING
1219,9161,2023-09-16T13:39:33+00:00,,,Flag,DOUBLE YELLOW,Sector,16,DOUBLE YELLOW IN TRACK SECTOR 16
1219,9161,2023-09-16T13:39:39+00:00,,,Other,,,,FIA STEWARDS: INCIDENT BETWEEN SEVERAL CARS IN TURNS 16 TO 19 WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING
1219,9161,2023-09-16T13:39:40+00:00,,,Flag,YELLOW,Sector,16,YELLOW IN TRACK SECTOR 16
1219,9161,2023-09-16T13:48:23+00:00,,,Other,,,,Q2 WILL START AT 21:53
1219,9161,2023-09-16T13:48:33+00:00,,,Flag,DOUBLE YELLOW,Sector,1,DOUBLE YELLOW IN TRACK SECTOR 1
1219,9161,2023-09-16T13:49:08+00:00,,,Flag,CLEAR,Sector,1,CLEAR IN TRACK SECTOR 1
1219,9161,2023-09-16T13:49:31+00:00,,,Flag,CLEAR,Sector,16,CLEAR IN TRACK SECTOR 16
1219,9161,2023-09-16T13:49:31+00:00,,,Other,,,,DRS ENABLED IN ZONE 3
1219,9161,2023-09-16T13:53:00+00:00,,,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1219,9161,2023-09-16T14:02:34+00:00,,,Other,,,,TURN 4 INCIDENT INVOLVING CARS 1 (VER) AND 22 (TSU) NOTED - IMPEDING
